Article ID,Newspaper City,Year,Article Type
   ID368,Glasgow,1794,advertise
   ID35,Glasgow,1789,advertisement
   ID6,Glasgow,1789,entertain
   ID9,Glasgow,1789,entertain
   ID41,Glasgow,1789,entertain
   ID58,Glasgow,1789,entertain
   ID64,Glasgow,1790,entertain
   ID65,Glasgow,1790,entertain
   ID67,Glasgow,1790,entertain
   ID70,Glasgow,1790,entertain
   ID72,Glasgow,1790,entertain
   ID73,Glasgow,1790,entertain
   ID74,Glasgow,1790,entertain
   ID76,Glasgow,1790,entertain
   ID84,Glasgow,1790,entertain
   ID89,Glasgow,1792,entertain
   ID93,Glasgow,1793,entertain
   ID121,Edinburgh,1817,entertain
   ID159,Edinburgh,1820,entertain
   ID207,Edinburgh,1828,entertain
   ID231,Edinburgh,1833,entertain
   ID286,Edinburgh,1839,entertain
   ID289,Edinburgh,1839,entertain
   ID293,Edinburgh,1840,entertain
   ID313,Edinburgh,1842,entertain
   ID326,Glasgow,1790,entertain
   ID330,Glasgow,1791,entertain
   ID332,Glasgow,1792,entertain
   ID97,Glasgow,1794,entertain
   ID345,Glasgow,1790,entertain
   ID349,Glasgow,1791,entertain
   ID354,Glasgow,1792,entertain
   ID357,Edinburgh,1817,entertain
   ID358,Aberdeen,1817,entertain
   ID360,London,1817,entertain
   ID361,London,1817,entertain
   ID362,London,1817,entertain
   ID363,London,1817,entertain
   ID364,London,1817,entertain
   ID1,Edinburgh,1811,inform
   ID2,Glasgow,1789,inform
   ID3,Glasgow,1789,inform
   ID4,Glasgow,1789,inform
   ID5,Glasgow,1789,inform
   ID7,Glasgow,1789,inform
   ID8,Glasgow,1789,inform
   ID10,Glasgow,1789,inform
   ID12,Glasgow,1789,inform
   ID13,Glasgow,1789,inform
   ID14,Glasgow,1789,inform
   ID15,Glasgow,1789,inform
   ID17,Glasgow,1789,inform
   ID19,Glasgow,1789,inform
   ID20,Glasgow,1789,inform
   ID21,Glasgow,1789,inform
   ID22,Glasgow,1789,inform
   ID23,Glasgow,1789,inform
   ID24,Glasgow,1789,inform
   ID25,Glasgow,1789,inform
   ID26,Glasgow,1789,inform
   ID28,Glasgow,1789,inform
   ID29,Glasgow,1789,inform
   ID32,Glasgow,1789,inform
   ID33,Glasgow,1789,inform
   ID34,Glasgow,1789,inform
   ID36,Glasgow,1789,inform
   ID37,Glasgow,1789,inform
   ID38,Glasgow,1789,inform
   ID40,Glasgow,1789,inform
   ID42,Glasgow,1789,inform
   ID43,Glasgow,1789,inform
   ID44,Glasgow,1789,inform
   ID45,Glasgow,1789,inform
   ID46,Glasgow,1789,inform
   ID47,Glasgow,1789,inform
   ID49,Glasgow,1789,inform
   ID51,Glasgow,1789,inform
   ID52,Glasgow,1789,inform
   ID53,Glasgow,1789,inform
   ID54,Glasgow,1789,inform
   ID55,Glasgow,1789,inform
   ID57,Glasgow,1789,inform
   ID60,Glasgow,1790,inform
   ID61,Glasgow,1790,inform
   ID62,Glasgow,1790,inform
   ID63,Glasgow,1790,inform
   ID68,Glasgow,1790,inform
   ID69,Glasgow,1790,inform
   ID71,Glasgow,1790,inform
   ID78,Glasgow,1790,inform
   ID80,Glasgow,1790,inform
   ID81,Glasgow,1790,inform
   ID82,Glasgow,1790,inform
   ID85,Glasgow,1790,inform
   ID86,Glasgow,1790,inform
   ID87,Glasgow,1791,inform
   ID90,Glasgow,1792,inform
   ID91,Glasgow,1792,inform
   ID92,Glasgow,1793,inform
   ID94,Glasgow,1793,inform
   ID95,Glasgow,1793,inform
   ID96,Glasgow,1793,inform
   ID99,Glasgow,1794,inform
   ID100,Glasgow,1794,inform
   ID101,Glasgow,1794,inform
   ID102,Edinburgh,1802,inform
   ID103,Edinburgh,1810,inform
   ID104,Edinburgh,1812,inform
   ID105,Edinburgh,1812,inform
   ID106,Edinburgh,1812,inform
   ID107,Edinburgh,1812,inform
   ID108,Edinburgh,1813,inform
   ID109,Edinburgh,1813,inform
   ID110,Edinburgh,1813,inform
   ID111,Edinburgh,1814,inform
   ID112,Edinburgh,1814,inform
   ID113,Edinburgh,1814,inform
   ID114,Edinburgh,1814,inform
   ID115,Edinburgh,1814,inform
   ID116,Edinburgh,1814,inform
   ID117,Edinburgh,1816,inform
   ID118,Edinburgh,1816,inform
   ID119,Edinburgh,1816,inform
   ID120,Aberdeen,1816,inform
   ID122,Edinburgh,1818,inform
   ID123,Edinburgh,1818,inform
   ID124,Edinburgh,1818,inform
   ID125,Edinburgh,1818,inform
   ID126,Aberdeen,1818,inform
   ID127,Edinburgh,1818,inform
   ID128,Edinburgh,1818,inform
   ID129,Edinburgh,1818,inform
   ID131,Edinburgh,1818,inform
   ID132,Edinburgh,1818,inform
   ID133,Aberdeen,1819,inform
   ID135,Aberdeen,1819,inform
   ID136,Edinburgh,1819,inform
   ID137,Edinburgh,1819,inform
   ID138,Aberdeen,1819,inform
   ID139,Edinburgh,1819,inform
   ID140,Aberdeen,1819,inform
   ID141,Edinburgh,1819,inform
   ID142,Edinburgh,1819,inform
   ID143,Edinburgh,1819,inform
   ID144,Aberdeen,1819,inform
   ID146,Edinburgh,1819,inform
   ID147,Edinburgh,1819,inform
   ID148,Aberdeen,1819,inform
   ID149,Aberdeen,1819,inform
   ID150,Aberdeen,1819,inform
   ID151,Edinburgh,1819,inform
   ID152,Aberdeen,1819,inform
   ID154,Edinburgh,1819,inform
   ID155,Aberdeen,1819,inform
   ID156,Aberdeen,1819,inform
   ID157,Edinburgh,1819,inform
   ID158,Edinburgh,1820,inform
   ID160,Edinburgh,1820,inform
   ID161,Edinburgh,1820,inform
   ID162,Glasgow,1820,inform
   ID163,Edinburgh,1820,inform
   ID165,Glasgow,1820,inform
   ID166,Edinburgh,1820,inform
   ID167,Edinburgh,1820,inform
   ID168,Aberdeen,1820,inform
   ID169,Aberdeen,1820,inform
   ID170,Aberdeen,1820,inform
   ID171,Aberdeen,1820,inform
   ID172,Aberdeen,1820,inform
   ID173,Aberdeen,1821,inform
   ID174,Edinburgh,1821,inform
   ID175,Aberdeen,1821,inform
   ID176,Aberdeen,1821,inform
   ID177,Glasgow,1821,inform
   ID178,Edinburgh,1821,inform
   ID179,Edinburgh,1821,inform
   ID180,Aberdeen,1821,inform
   ID181,Edinburgh,1821,inform
   ID182,Edinburgh,1821,inform
   ID183,Aberdeen,1821,inform
   ID184,Aberdeen,1821,inform
   ID185,Aberdeen,1821,inform
   ID186,Glasgow,1821,inform
   ID187,Glasgow,1822,inform
   ID188,Edinburgh,1822,inform
   ID189,Edinburgh,1822,inform
   ID190,Edinburgh,1823,inform
   ID191,Edinburgh,1823,inform
   ID192,Edinburgh,1823,inform
   ID193,Edinburgh,1824,inform
   ID194,Edinburgh,1824,inform
   ID195,Edinburgh,1824,inform
   ID197,Edinburgh,1824,inform
   ID198,Edinburgh,1824,inform
   ID199,Edinburgh,1824,inform
   ID200,Edinburgh,1824,inform
   ID201,Edinburgh,1824,inform
   ID202,Edinburgh,1824,inform
   ID203,Edinburgh,1824,inform
   ID204,Edinburgh,1825,inform
   ID205,Edinburgh,1827,inform
   ID206,Edinburgh,1828,inform
   ID208,Edinburgh,1828,inform
   ID209,Edinburgh,1828,inform
   ID210,Edinburgh,1828,inform
   ID211,Edinburgh,1829,inform
   ID212,Edinburgh,1829,inform
   ID213,Edinburgh,1829,inform
   ID214,Edinburgh,1829,inform
   ID215,Edinburgh,1829,inform
   ID216,Edinburgh,1830,inform
   ID217,Edinburgh,1830,inform
   ID218,Edinburgh,1830,inform
   ID219,Edinburgh,1831,inform
   ID220,Edinburgh,1831,inform
   ID221,Edinburgh,1831,inform
   ID222,Edinburgh,1831,inform
   ID223,Edinburgh,1831,inform
   ID224,Edinburgh,1832,inform
   ID225,Edinburgh,1832,inform
   ID226,Edinburgh,1832,inform
   ID227,Edinburgh,1833,inform
   ID228,Edinburgh,1833,inform
   ID229,Edinburgh,1833,inform
   ID230,Edinburgh,1833,inform
   ID232,Edinburgh,1833,inform
   ID233,Edinburgh,1833,inform
   ID234,Edinburgh,1833,inform
   ID235,Edinburgh,1833,inform
   ID236,Edinburgh,1833,inform
   ID237,Edinburgh,1834,inform
   ID238,Edinburgh,1834,inform
   ID239,Edinburgh,1834,inform
   ID240,Edinburgh,1834,inform
   ID241,Edinburgh,1834,inform
   ID242,Edinburgh,1834,inform
   ID243,Edinburgh,1834,inform
   ID244,Edinburgh,1834,inform
   ID245,Edinburgh,1834,inform
   ID246,Edinburgh,1834,inform
   ID247,Edinburgh,1835,inform
   ID248,Edinburgh,1835,inform
   ID249,Edinburgh,1835,inform
   ID250,Edinburgh,1835,inform
   ID251,Edinburgh,1835,inform
   ID252,Edinburgh,1835,inform
   ID253,Edinburgh,1836,inform
   ID254,Edinburgh,1836,inform
   ID255,Edinburgh,1836,inform
   ID256,Edinburgh,1836,inform
   ID257,Edinburgh,1836,inform
   ID258,Edinburgh,1836,inform
   ID259,Edinburgh,1836,inform
   ID260,Edinburgh,1836,inform
   ID261,Edinburgh,1836,inform
   ID262,Edinburgh,1836,inform
   ID263,Edinburgh,1836,inform
   ID264,Edinburgh,1836,inform
   ID266,Edinburgh,1837,inform
   ID267,Edinburgh,1837,inform
   ID268,Edinburgh,1837,inform
   ID269,Edinburgh,1837,inform
   ID270,Edinburgh,1837,inform
   ID271,Edinburgh,1838,inform
   ID272,Edinburgh,1838,inform
   ID273,Edinburgh,1838,inform
   ID274,Edinburgh,1838,inform
   ID275,Edinburgh,1839,inform
   ID276,Edinburgh,1839,inform
   ID277,Edinburgh,1839,inform
   ID278,Edinburgh,1839,inform
   ID279,Edinburgh,1839,inform
   ID280,Edinburgh,1839,inform
   ID281,Edinburgh,1839,inform
   ID282,Edinburgh,1839,inform
   ID283,Edinburgh,1839,inform
   ID284,Edinburgh,1839,inform
   ID285,Edinburgh,1839,inform
   ID287,Edinburgh,1839,inform
   ID288,Edinburgh,1839,inform
   ID290,Edinburgh,1840,inform
   ID291,Edinburgh,1840,inform
   ID292,Edinburgh,1840,inform
   ID294,Edinburgh,1840,inform
   ID295,Edinburgh,1840,inform
   ID296,Edinburgh,1840,inform
   ID297,Edinburgh,1841,inform
   ID298,Edinburgh,1841,inform
   ID299,Edinburgh,1841,inform
   ID300,Edinburgh,1841,inform
   ID301,Edinburgh,1841,inform
   ID302,Edinburgh,1841,inform
   ID304,Edinburgh,1841,inform
   ID305,Edinburgh,1841,inform
   ID306,Edinburgh,1841,inform
   ID307,Edinburgh,1841,inform
   ID308,Edinburgh,1841,inform
   ID309,Edinburgh,1841,inform
   ID310,Edinburgh,1841,inform
   ID311,Edinburgh,1842,inform
   ID312,Edinburgh,1842,inform
   ID314,Glasgow,1790,inform
   ID315,Glasgow,1790,inform
   ID316,Glasgow,1793,inform
   ID317,Glasgow,1792,inform
   ID318,Glasgow,1791,inform
   ID319,Glasgow,1791,inform
   ID320,Glasgow,1791,inform
   ID321,Glasgow,1790,inform
   ID322,Glasgow,1790,inform
   ID323,Glasgow,1791,inform
   ID324,Glasgow,1791,inform
   ID327,Glasgow,1791,inform
   ID328,Glasgow,1791,inform
   ID329,Glasgow,1791,inform
   ID331,Glasgow,1791,inform
   ID333,Glasgow,1791,inform
   ID334,Glasgow,1791,inform
   ID335,Glasgow,1791,inform
   ID336,Glasgow,1791,inform
   ID337,Glasgow,1792,inform
   ID338,Glasgow,1792,inform
   ID339,Glasgow,1792,inform
   ID340,Glasgow,1790,inform
   ID341,Glasgow,1790,inform
   ID342,Glasgow,1790,inform
   ID344,Glasgow,1790,inform
   ID346,Glasgow,1790,inform
   ID347,Glasgow,1791,inform
   ID348,Glasgow,1791,inform
   ID351,Glasgow,1792,inform
   ID352,Glasgow,1792,inform
   ID353,Glasgow,1792,inform
   ID359,Sydney,1815,inform
   ID366,Glasgow,1794,inform
   ID367,Glasgow,1822,inform
   ID369,Glasgow,1793,inform
   ID370,Glasgow,1792,inform
   ID371,Glasgow,1793,inform
   ID372,Glasgow,1794,inform
   ID373,Glasgow,1794,inform
   ID374,Glasgow,1794,inform
   ID375,Glasgow,1794,inform
   ID376,Glasgow,1794,inform
   ID377,Glasgow,1794,inform
   ID378,Glasgow,1794,inform
   ID379,Exeter,1810,inform
   ID380,London,1810,inform
   ID381,London,1810,inform
   ID382,Glasgow,1789,inform
   ID383,Glasgow,1789,inform
   ID384,Glasgow,1789,inform
   ID56,Glasgow,1789,new
   ID11,Glasgow,1789,persuade
   ID16,Glasgow,1789,persuade
   ID18,Glasgow,1789,persuade
   ID31,Glasgow,1789,persuade
   ID48,Glasgow,1789,persuade
   ID50,Glasgow,1789,persuade
   ID59,Glasgow,1790,persuade
   ID130,Edinburgh,1818,persuade
   ID134,Edinburgh,1819,persuade
   ID145,Edinburgh,1819,persuade
   ID153,Aberdeen,1819,persuade
   ID164,Edinburgh,1820,persuade
   ID196,Edinburgh,1824,persuade
   ID265,Edinburgh,1836,persuade
   ID343,Glasgow,1790,persuade
   ID356,Glasgow,1793,persuade
   ID365,Glasgow,1793,persuade
